Designator,Mid X,Mid Y,Rotation,Layer
C1,176.5,-65.675,90.0,top
C2,187.0625,-61.325,90.0,top
C3,173.4,-65.675,270.0,top
C4,189.6625,-61.325,90.0,top
C5,179.4,-59.6,180.0,top
C6,193.2,-77.95,180.0,top
C7,183.7,-71.4,180.0,top
J1,215.8,-80.0,0.0,top
J2,209.0,-72.2,0.0,top
J3,194.8,-60.8,0.0,top
J4,196.7,-66.1,0.0,top
J5,169.6,-66.8,0.0,top
J6,169.6,-59.8,0.0,top
J7,215.8,-72.2,0.0,top
PMT1,193.68,-83.46,0.0,bottom
Q1,213.2375,-64.7,90.0,top
Q2,204.9375,-65.3,90.0,top
R1,174.6625,-62.0,180.0,top
R10,208.0375,-60.9,0.0,top
R11,200.7375,-62.8,270.0,top
R12,199.6,-96.05,180.0,top
R13,199.6,-100.05,0.0,top
R14,193.7,-92.1,270.0,top
R15,186.1,-95.2,270.0,top
R16,179.7,-93.5,90.0,top
R17,175.7,-93.5,270.0,top
R18,190.0375,-85.85,180.0,top
R19,179.7,-85.8,270.0,top
R2,174.6625,-59.6,180.0,top
R20,191.35,-81.85,180.0,top
R21,181.3,-78.6,180.0,top
R22,190.9,-70.7,180.0,top
R23,183.5,-74.9,180.0,top
R3,188.6625,-65.4,0.0,top
R4,209.0375,-66.2,180.0,top
R5,209.0375,-68.6,0.0,top
R6,204.3375,-68.6,180.0,top
R7,200.7375,-67.5,90.0,top
R8,209.0375,-63.8,180.0,top
R9,212.7375,-60.9,180.0,top
RLY1,175.0,-77.9,90.0,top
U1,181.6625,-63.525,270.0,top
